_id,캠프 이름,상세설명1,상세설명2,상세설명3,상세설명4,상세설명5,상세설명6,상세설명7,상세설명8,상세설명9
73,가리산자연휴양림야영장,강원도홍천군두촌면가리산길426가리산자연휴양림야영장,033-435-6034,"산,숲/지자체",자동차야영장,"봄,여름,가을",평일+주말,홈페이지바로가기새창으로,현장,
75,가마실캠핑장,충청북도제천시자작동242,043-651-3031,"산,숲,계곡,호수/민간",일반야영장,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,전화,"계곡물놀이,산책로,낚시,어린이놀이시설"
76,가산글램핑,경상북도칠곡군가산면학하리1178-1,054-973-9981,숲/민간,"일반야영장,카라반,글램핑","봄,여름,가을,겨울",홈페이지바로가기새창으로,온라인실시간예약,산책로,
77,가산산성야영장,경상북도칠곡군동명면한티로1034가산산성야영장,054-880-8300,산/지자체,일반야영장,"봄,여름,가을",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,산책로
80,가야권역소리마실영농조합법인,경상남도합천군가야면야천리산861-1,"055-934-2221,010-3574-2214","산,계곡/민간",일반야영장,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,"계곡물놀이,청소년체험시설",
81,가야랜드달빛야영장,경상남도김해시삼방동826,055-332-9100,/지자체,일반야영장,홈페이지바로가기새창으로,전화,,,
84,가온누리캠핑체험장,경상북도경주시안강읍하곡리632,054-762-2000,숲/민간,일반야영장,"봄,여름,가을,겨울",주말,홈페이지바로가기새창으로,"산책로,낚시,어린이놀이시설",
85,가우도카라반펜션,전남강진군대구면저두바닷길3,061-434-6633,해변/민간,"일반야영장,카라반","봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,"산책로,수상레저,낚시",
86,가은해솔캠핑장,경상북도문경시가은읍원북리177-6,010-7660-5379,숲/민간,일반야영장,"봄,여름,가을",평일+주말,홈페이지바로가기새창으로,전화,"계곡물놀이,낚시,어린이놀이시설"
87,변산오토캠핑장,전북부안군변산면변산로2054,1670-3639-,해변/지자체,"자동차야영장,카라반","봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,"낚시,해수욕"
90,가족쉼터,경기도남양주시수동면수산리591-2,031-591-1585,"숲,계곡/지자체",자동차야영장,"봄,여름,가을",평일+주말,전화,계곡물놀이,
92,청계산골든밸리가족캠핑장,경기성남시수정구달래내로221번길17-5(금토동)청계산골든밸리캠핑장,010-3094-4235,"산,숲,도심/민간","일반야영장,글램핑","봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,
95,가창농원야영장,대구광역시달성군가창면삼산리128,010-8436-6906,"산,숲/민간","일반야영장,자동차야영장","봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,
102,가평사계절캠핑장,경기도가평군가화로988-0가평사계절캠핑장,031-582-7883,"숲,계곡,도심/민간","일반야영장,자동차야영장","봄,여름,가을",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,"계곡물놀이,산책로,낚시,어린이놀이시설"
103,가평사과나무캠핑장,경기도가평군상면항사리427-6외2필지,010-5380-5559,"산,숲/민간",자동차야영장,"봄,여름,가을",주말,홈페이지바로가기새창으로,,
119,가평운악홀리데이캠핑장(가평운악홀리데이카라반파크),경기가평군조종면운악청계로424가평운악홀리데이카라반파크,0505-356-9520,산/지자체,글램핑,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,
121,가평황토은글램핑,경기가평군설악면장수로79번길63-18,"031-584-2963,010-9186-3946","산,숲,계곡/민간",글램핑,"봄,여름,가을",평일+주말,홈페이지바로가기새창으로,"계곡물놀이,운동장,강/물놀이,농어촌체험시설",
123,흑석산자연휴양림,전라남도해남군계곡면산골길306흑석산자연휴양림,061-530-5738,"산,숲/지자체",일반야영장,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,전화,"산책로,강/물놀이"
124,각화산캠핑장,경상북도봉화군춘양면석현리573-2,054-679-8799,/민간,일반야영장,전화,,,,
125,주식회사클럽프라비다(각흘봉관광농원),경기도포천시이동면도평리572-3,031-536-8868,"산,숲,계곡/민간",일반야영장,"봄,여름,가을,겨울",주말,"계곡물놀이,산책로,청소년체험시설",,
127,간월도캠핑장,충청남도서산시부석면간월도리21-20,041-665-5403,/지자체,일반야영장,홈페이지바로가기새창으로,온라인실시간예약,,,
129,갈기산펜션캠핑장,경기도양평군청운면신론리189,010-2476-3657,"산,계곡/민간",자동차야영장,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,"계곡물놀이,산책로,청소년체험시설",
131,갈천오토캠핑장,강원도양양군서면구룡령로1103-12갈천오토캠핑장,"산,계곡/민간",일반야영장,홈페이지바로가기새창으로,온라인실시간예약,계곡물놀이,,,
132,감이야기캠핑장,경상북도청도군운문면신원리75-1,"010-4504-9005,010-6409-0061","산,계곡/민간",일반야영장,"봄,여름,가을",평일+주말,홈페이지바로가기새창으로,"계곡물놀이,산책로,어린이놀이시설",
137,감악산캠핑숲,강원원주시신림면신림황둔로714,010-4000-6079,계곡/민간,자동차야영장,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,"계곡물놀이,산책로"
138,강나루오토캠핑장,경상남도함안군칠서면이룡리998,055-586-2510,강/지자체,일반야영장,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,
139,강나루캠핑장,"경남합천군가회면둔내리563-6,563-7",010-6311-0555,강/민간,일반야영장,"봄,여름,가을,겨울",평일+주말,현장,,
140,강당골캠핑파크,충남아산시송악면강당로187-17,"041-544-6977,010-3431-6977","숲,계곡/민간",일반야영장,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,전화,"계곡물놀이,산책로,낚시"
141,강동그린웨이가족캠핑장,서울강동구천호대로206길87(둔촌동),02-2045-7880,도심/지자체,자동차야영장,"봄,여름,가을",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,"산책로,운동장,수영장"
142,강릉노추산힐링캠프,강원강릉시왕산면노추산로1271-6,010-6375-3333,"숲,계곡/민간",자동차야영장,"봄,여름,가을",주말,홈페이지바로가기새창으로,온라인실시간예약,"계곡물놀이,산책로,낚시"
146,강변사리캠핑장,전라북도임실군덕치면강동로865-20,063-642-5351,산/민간,일반야영장,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,"계곡물놀이,청소년체험시설"
147,강변야영장,강원도인제군북면만해로237,010-8969-0437,계곡/민간,자동차야영장,여름,평일+주말,계곡물놀이,,
148,강변오토캠핑장,충청북도괴산군괴산읍검승리117-2,"043-832-7815,010-5049-0966",강/민간,일반야영장,"봄,여름,가을",평일+주말,홈페이지바로가기새창으로,"계곡물놀이,산책로,낚시,어린이놀이시설",
154,강원도산림개발연구원집다리골자연휴양림,강원도춘천시사북면지암리산5,033-243-1442,"산,숲,계곡/자연휴양림",일반야영장,"봄,여름,가을",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,"계곡물놀이,산책로"
157,강원도힐링캠핑장,강원도원주시신림면황둔리1240,010-8862-8107,계곡/민간,자동차야영장,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,계곡물놀이,
160,큐브빌리지글램핑,전남강진군대구면청자로1339-74큐브빌리지글램핑,010-2224-2618,"해변,산,숲/민간",글램핑,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,"전화,온라인예약대기,온라인실시간예약","산책로,수상레저,낚시,수영장,농어촌체험시설"
161,뜨란채(강천산캠핑),전북순창군팔덕면강천로664-26,063-653-1306,"산,숲/민간","일반야영장,카라반","봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,계곡물놀이,
162,강촌강변오토캠핑장,강원도춘천시남산면강촌리534-5,033-251-1133,/지자체,자동차야영장,홈페이지바로가기새창으로,온라인실시간예약,,,
163,강촌관광농원,강원도춘천시남산면강촌리499,033-261-8214,"산,계곡/지자체",글램핑,"봄,여름",평일+주말,홈페이지바로가기새창으로,전화,"계곡물놀이,운동장,강/물놀이"
165,강촌달머리캠핑장,강원도춘천시서면안보리471-1,010-8983-4040,"산,숲/민간","일반야영장,자동차야영장,카라반","봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인예약대기,수상레저
167,강촌하늘아래(구강촌캠핑장),강원도춘천시남산면방곡리351-3,010-3231-4447,강/민간,"일반야영장,글램핑","봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,"전화,온라인실시간예약",강/물놀이
168,강촌포도펜션오토캠핑장,강원도춘천시남산면백양리266-2번지,010-4446-8877,계곡/민간,자동차야영장,"봄,여름,가을",평일+주말,홈페이지바로가기새창으로,계곡물놀이,
170,강화고인돌캠핑장,인천광역시강화군하점면장정리989,010-3699-2499,섬/민간,일반야영장,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,"운동장,낚시,해수욕",
173,강화도산들애농원캠핑수영장,인천광역시강화군강화읍국화리344-1,010-5110-3833,"산,숲/민간",자동차야영장,"봄,여름,가을",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,산책로
175,강화캠핑파크,인천광역시강화군길상면신촌로146번길14-11강화캠핑파크,010-9005-3430,숲/민간,"일반야영장,글램핑","봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,"전화,온라인예약대기",
176,개금불어뮤니티,경상남도합천군묘산면봉곡리140,010-3544-7478,"산,숲,계곡/민간",일반야영장,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,,
179,개미들솔향기야영장,강원도정선군남면광락로354개미들솔향기야영장,010-9591-1641,/민간,자동차야영장,평일+주말,홈페이지바로가기새창으로,전화,,
180,개암벌용소관광농원캠핑장,강원도홍천군두촌면괘석리617,"033-435-9720,010-6341-4673",계곡/민간,자동차야영장,"봄,여름,가을",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,계곡물놀이
190,거북바위야영장,경기도양평군서종면서후리234-1번지,010-2775-6495,산/민간,자동차야영장,"봄,여름,가을",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,계곡물놀이
193,거제글램퍼스,경남거제시일운면망치4길38거제글램퍼스,010-6686-1475,"해변,산,숲/민간","일반야영장,카라반,글램핑",홈페이지바로가기새창으로,온라인실시간예약,"산책로,수상레저,낚시",,
198,거제자연휴양림,경상남도거제시동부면거제중앙로325거제자연휴양림,055-639-4354,/지자체,일반야영장,홈페이지바로가기새창으로,온라인실시간예약,,,
199,거창A글램핑(거창에이글램핑),경남거창군마리면세동길7손인성,010-2993-4773,/민간,"일반야영장,글램핑","봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,
214,경주힐링캠프,경상북도경주시산내면감산리1456번지,010-3808-0771,"숲,계곡/민간","일반야영장,글램핑","봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,"계곡물놀이,산책로,수상레저,낚시,해수욕,어린이놀이시설"
217,별자리캠핑랜드(구경주남산관광농원),경북경주시반구대로3501-34(배동),0507-1342-2108,숲/민간,"일반야영장,카라반,글램핑","봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,"계곡물놀이,낚시,어린이놀이시설",
221,경주초우오토캠핑장,경상북도경주시동방동산업로3549-30초우관광농원,054-701-2900,도심/민간,일반야영장,"봄,여름,가을",평일+주말,홈페이지바로가기새창으로,"산책로,수상레저",
222,강화카라반캠핑장,인천광역시강화군길상면초지리1320-1,032-932-8188,해변/민간,글램핑,"봄,여름,가을,겨울",평일+주말,온라인실시간예약,낚시,
225,경호강캠핑장,경상남도산청군단성면방목리627,010-7587-5864,"산,숲/민간",일반야영장,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,"산책로,강/물놀이,농어촌체험시설,어린이놀이시설",
227,계곡과소나무오토캠핑장,경기도포천시일동면무리울길283계곡과소나무오토캠핑장,010-4842-2689,산/민간,일반야영장,"봄,여름,가을",평일+주말,홈페이지바로가기새창으로,전화,계곡물놀이
231,계룡산글램핑동월숲,충남공주시반포면계룡대로1352,070-5055-0319,/민간,일반야영장,홈페이지바로가기새창으로,온라인실시간예약,,,
232,계룡산글램핑파크오브드림,충남공주시반포면동학사1로46,041-960-1111,숲/민간,"일반야영장,글램핑","봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,"계곡물놀이,산책로"
233,계룡산동학사자동차야영장,충청남도공주시반포면동학사2로115-16계룡산동학사자동차야영장,042-825-9597,숲/국립공원,일반야영장,"봄,여름,가을,겨울",평일+주말,현장,산책로,
236,계림정야영장,경상남도산청군삼장면홍계리1054-8,010-7188-0365,"숲,계곡/민간",일반야영장,"봄,여름,가을",평일+주말,전화,"계곡물놀이,산책로",
237,계명산나무숲길캠핑장,충북충주시용탄동410,043-855-3378,/민간,자동차야영장,홈페이지바로가기새창으로,온라인예약대기,,,
238,계명산자연휴양림,경상북도안동시길안면고란리산1-1외2필,054-850-4700,"산,숲,계곡/지자체",일반야영장,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,현장,산책로
240,계방산오토캠핑장(노동계곡오토캠핑장),강원도평창군용평면이승복생가길160계방산오토캠핑장,033-339-9016,숲/지자체,일반야영장,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,계곡물놀이
244,고길동캠핑장,강원도홍천군북방면북방리946,010-9403-7603,산/민간,자동차야영장,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,계곡물놀이
245,고대산캠핑리조트,경기도연천군신서면대광리130-3,031-932-8188,"숲,계곡/민간","카라반,글램핑","봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,"계곡물놀이,운동장,강/물놀이"
247,고라데이마을,강원도횡성군청일면봉명리61-3(봉명로375-1)고라데이마을체험관,033-344-1004,"산,숲/민간",일반야영장,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,"전화,온라인예약대기",계곡물놀이
249,고래숲관광농원,경기안산시단원구장불길14(대부남동),010-7672-2447,/민간,자동차야영장,현장,,,,
260,고산무궁화오토캠핑장,전라북도완주군고산면오산리808,063-290-2762,산/지자체,"일반야영장,카라반","봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인예약대기,수영장
266,고성남산공원오토캠핑장,경상남도고성군고성읍공룡로3165남산공원오토캠핑장,"070-4152-5255,010-4904-5253",해변/지자체,"일반야영장,카라반,글램핑","봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,산책로,
267,상족암군립공원오토캠핑장(상족암군립공원국민여가캠핑장(고성상족암오토캠핑장)),경남고성군하이면덕명5길53-7,055-670-4463,/지자체,일반야영장,전화,,,,
268,고성다이노캠핑장,경상남도고성군삼산면두포리174-3,055-672-7992,/지자체,일반야영장,홈페이지바로가기새창으로,전화,,,
269,고성잔디캠핑장,경남고성군하일면용태리479,010-9131-8560,산/민간,일반야영장,"봄,여름,가을",주말,전화,"계곡물놀이,산책로,운동장,낚시,강/물놀이,농어촌체험시설",
270,고성패밀리캠핑장,경상남도고성군상리면상정대로1186,"0507-1404-5283,010-5455-5283",산/민간,"일반야영장,글램핑","봄,여름,가을,겨울",주말,홈페이지바로가기새창으로,"산책로,강/물놀이,수영장,농어촌체험시설,어린이놀이시설",
276,태백산고원자연휴양림야영장,강원도태백시철암동머리골길153고원자연휴양림,033-582-7440,"산,숲/국립공원",일반야영장,여름,평일+주말,홈페이지바로가기새창으로,온라인실시간예약,"계곡물놀이,산책로"
277,고인돌펜션&캠핑장(고인돌오토캠핑장),강원도홍천군화촌면구룡령로578-10,033-432-3473,강/민간,자동차야영장,"봄,여름,가을",평일+주말,홈페이지바로가기새창으로,"청소년체험시설,어린이놀이시설",
284,고향펜션캠핑,경상북도봉화군소천면고선리558-1,"054-673-8133,010-8008-2849","산,숲,계곡/민간",일반야영장,"봄,여름,가을,겨울",평일+주말,"계곡물놀이,산책로",,
289,곡성키즈글램핑,전라남도곡성군죽곡면오죽로132곡성키즈글램핑,010-4235-0626,"산,숲/지자체","일반야영장,글램핑",평일+주말,"전화,현장",수영장,,
299,골체오름캠핑,제주특별자치도제주시조천읍선흘리1858-1,010-6234-7061,"섬,산/지자체",자동차야영장,"봄,여름,가을",주말,전화,산책로,
301,곰섬야영장,충청남도태안군남면신온리903-34,010-3438-0909,해변/민간,일반야영장,"봄,여름,가을",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,"산책로,수상레저,낚시,해수욕"
306,공릉관광지캠핑장,경기도파주시조리읍장곡로218420-7,031-945-2250,/지자체,"자동차야영장,카라반","봄,여름,가을,겨울",평일+주말,온라인실시간예약,"강/물놀이,농어촌체험시설",
309,공작산계곡오토캠핑장,강원도홍천군화촌면당무로545,033-433-2227,/민간,일반야영장,평일+주말,전화,,,
313,공주계곡캠핑장,충청남도공주시사곡면운암리468-2,010-6433-8994,계곡/민간,일반야영장,"봄,여름,가을",평일+주말,홈페이지바로가기새창으로,전화,"계곡물놀이,산책로,운동장,낚시,어린이놀이시설"
315,공주산림휴양마을,충남공주시금학동140-1공주산림휴양마을,041-840-2573,"산,숲/지자체",자동차야영장,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,강/물놀이
316,공주한옥마을웅진오토캠핑장,충청남도공주시웅진동관광단지길12공주한옥마을웅진오토캠핑장,041-840-8900,산/지자체,카라반,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,산책로
320,광교호수공원가족캠핑장,경기도수원시영통구하동광교호수로57광교호수공원가족캠핑장,031-548-0075,/지자체,일반야영장,홈페이지바로가기새창으로,,,,
327,광릉분재예술공원캠핑장,경기도포천시소홀읍직동리281광릉분재예술공원캠핑장,031-542-5755,/지자체,일반야영장,전화,,,,
328,광릉솔개캠핑장,경기도포천시소흘읍이곡리524-3,031-544-1260,"산,숲/민간",일반야영장,"봄,여름,가을,겨울",주말,홈페이지바로가기새창으로,"산책로,강/물놀이,청소년체험시설,농어촌체험시설",
329,광릉숲이야기관광농원,경기도포천시소흘읍직동리76-4,010-5694-7994,숲/민간,"일반야영장,카라반","봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,"강/물놀이,농어촌체험시설",
331,광명도덕산캠핑장,경기도광명시하안동549,02-2610-7370,도심/지자체,일반야영장,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,산책로
333,광주시민의숲야영장,광주광역시북구월출동968번지,062-613-6467,"숲,강/지자체","일반야영장,자동차야영장","봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,어린이놀이시설
337,괴강국민여가캠핑장,충북괴산군괴산읍충민로검승3길10괴강국민여가캠핑장,010-8648-2901,"산,강,도심/국민여가",자동차야영장,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,"산책로,수영장"
342,교동아일랜드,강화군교동면읍내리6-5번지,"032-934-5856,010-9905-5858",섬/민간,"자동차야영장,카라반","봄,여름,가을",평일+주말,홈페이지바로가기새창으로,"산책로,낚시,강/물놀이",
343,교래생태체험장,제주특별자치도제주시조천읍교래리636,064-783-0506,"섬,산,숲/민간",일반야영장,"봄,여름,가을",주말,전화,,
344,교래자연휴양림야영장,제주특별자치도제주시조천읍남조로2023제주교래자연휴양림야영장,064-784-7314,/지자체,일반야영장,홈페이지바로가기새창으로,온라인실시간예약,,,
349,구룡레져타운야영장,강원도원주시소초면치악로3403구룡레저타운야영장,호수/민간,"일반야영장,카라반,글램핑","봄,여름,가을",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,수상레저,
350,구룡자동차야영장(치악산국립공원),강원도원주시소초면학곡리920,033-732-5231,/국립공원,일반야영장,"봄,여름,가을",평일+주말,홈페이지바로가기새창으로,,
353,구름계곡캠핑장,경기도가평군북면제령리219-2번지,010-4635-7099,"숲,계곡/민간","일반야영장,자동차야영장","봄,여름,가을",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,"계곡물놀이,산책로,낚시,강/물놀이,어린이놀이시설"
355,구름포오토캠핑장,충청남도태안군소원면의항리157,010-5420-5105,/민간,일반야영장,홈페이지바로가기새창으로,현장,,,
356,구름포해수욕장카라반,충청남도태안군소원면의항리160-4,070-7719-6891,해변/민간,"일반야영장,카라반,글램핑","봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,"산책로,낚시,해수욕",
357,구리토평가족캠핑장,경기도구리시왕숙천로11-140,031-550-3788,/지자체,일반야영장,홈페이지바로가기새창으로,전화,,,
358,구마이오토캠핑장,경상북도상주시내서면우서로287-4구마이오토캠핑장,"054-533-0952,010-2915-1223",/민간,일반야영장,"봄,여름,가을",평일+주말,홈페이지바로가기새창으로,,
360,구만동오토캠핑장,강원도인제군북면만해로221구만동오토캠핑장,계곡/민간,일반야영장,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,계곡물놀이,
361,구만산장캠핑장,경상남도밀양시산내면봉의로223-6구만산장오토캠핑장,"055-353-7252,010-3349-0801","산,숲,계곡/민간",일반야영장,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,"계곡물놀이,청소년체험시설",
362,구미캠핑장,경상북도구미시양호동614-1,054-480-2184,숲/지자체,"일반야영장,카라반","봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,산책로
367,구산오토캠핑장,경상북도울진군기성면구산리산70구산오토캠핑장,054-788-9355,해변/지자체,자동차야영장,평일+주말,홈페이지바로가기새창으로,온라인실시간예약,"산책로,강/물놀이",
